title,price_inr,rating,category_name
It's Only the Himalayas,0.0,2,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,0.0,4,Travel
See America: A Celebration of Our National Parks & Treasured Sites,0.0,3,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,0.0,2,Travel
Under the Tuscan Sun,0.0,3,Travel
A Summer In Europe,0.0,2,Travel
The Great Railway Bazaar,0.0,1,Travel
A Year in Provence (Provence #1),0.0,4,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),0.0,1,Travel
Neither Here nor There: Travels in Europe,0.0,3,Travel
"1,000 Places to See Before You Die",0.0,5,Travel
Sharp Objects,0.0,4,Mystery
"In a Dark, Dark Wood",0.0,1,Mystery
The Past Never Ends,0.0,4,Mystery
A Murder in Time,0.0,1,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),0.0,4,Mystery
The Last Mile (Amos Decker #2),0.0,2,Mystery
That Darkness (Gardiner and Renner #1),0.0,1,Mystery
Tastes Like Fear (DI Marnie Rome #3),0.0,1,Mystery
A Time of Torment (Charlie Parker #14),0.0,5,Mystery
A Study in Scarlet (Sherlock Holmes #1),0.0,2,Mystery
Poisonous (Max Revere Novels #3),0.0,3,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),0.0,4,Mystery
Most Wanted,0.0,3,Mystery
Hide Away (Eve Duncan #20),0.0,1,Mystery
Boar Island (Anna Pigeon #19),0.0,3,Mystery
The Widow,0.0,2,Mystery
Playing with Fire,0.0,3,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),0.0,5,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),0.0,5,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),0.0,4,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),0.0,4,Mystery
In the Woods (Dublin Murder Squad #1),0.0,2,Mystery
The Silkworm (Cormoran Strike #2),0.0,5,Mystery
The Exiled,0.0,3,Mystery
The Cuckoo's Calling (Cormoran Strike #1),0.0,1,Mystery
Extreme Prey (Lucas Davenport #26),0.0,3,Mystery
Career of Evil (Cormoran Strike #3),0.0,2,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),0.0,4,Mystery
The Girl You Lost,0.0,5,Mystery
The Girl In The Ice (DCI Erika Foster #1),0.0,3,Mystery
Blood Defense (Samantha Brinkman #1),0.0,3,Mystery
1st to Die (Women's Murder Club #1),0.0,1,Mystery
Tipping the Velvet,0.0,1,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,0.0,3,Historical Fiction
A Flight of Arrows (The Pathfinders #2),0.0,5,Historical Fiction
The House by the Lake,0.0,1,Historical Fiction
Mrs. Houdini,0.0,5,Historical Fiction
The Marriage of Opposites,0.0,4,Historical Fiction
Glory over Everything: Beyond The Kitchen House,0.0,3,Historical Fiction
"Love, Lies and Spies",0.0,2,Historical Fiction
A Paris Apartment,0.0,4,Historical Fiction
Lilac Girls,0.0,2,Historical Fiction
The Constant Princess (The Tudor Court #1),0.0,3,Historical Fiction
The Invention of Wings,0.0,1,Historical Fiction
World Without End (The Pillars of the Earth #2),0.0,4,Historical Fiction
The Passion of Dolssa,0.0,5,Historical Fiction
Girl With a Pearl Earring,0.0,1,Historical Fiction
Voyager (Outlander #3),0.0,5,Historical Fiction
The Red Tent,0.0,5,Historical Fiction
The Last Painting of Sara de Vos,0.0,2,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,0.0,1,Historical Fiction
Girl in the Blue Coat,0.0,2,Historical Fiction
Between Shades of Gray,0.0,5,Historical Fiction
While You Were Mine,0.0,5,Historical Fiction
The Secret Healer,0.0,3,Historical Fiction
Starlark,0.0,3,Historical Fiction
Lost Among the Living,0.0,4,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),0.0,5,Historical Fiction
